2023-02-03 15:54:27,027 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='experiment_seven_limited', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2023-02-03 15:55:28,651 | maa | INFO | run.py started with args: Namespace(agent=None, debug=False, folder='experiment_seven_limited', function='generate_roadmap', parallel_index=None, parallel_num=None, path_file=None, refine=False, viewer=False)
2023-02-03 15:55:28,807 | maa | INFO | Start sampling roadmap for [R1]
2023-02-03 15:55:28,811 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 15:58:38,345 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 15:58:39,680 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:01:59,024 | maa | INFO | Generate [('DETACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:02:00,359 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 16:07:16,495 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 16:08:30,445 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:10:36,736 | maa | INFO | Generate [('ATTACH',)] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:11:28,781 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 16:11:42,597 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 16:11:43,485 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:11:58,016 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E2] with Operation [gripper, box]
2023-02-03 16:11:58,909 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, box]
2023-02-03 16:12:12,862 | maa | INFO | Generate [('GRASP', 'RELEASE')] Trajectories for Target [E1] with Operation [gripper, box]
