610,832
138,1022
100,730
454,1258
112,740
111,1269
642,905
380,905
256,869
261,1213
429,797
33,797
107,746
139,1223
235,931
86,808
22,823
383,802
118,1285
484,854
269,1454
360,818
351,1264
100,864
475,741
264,706
93,824
454,803
357,870
395,1162
246,1039
110,1178
130,864
410,881
52,1173
107,880
15,1291
390,1168
82,823
49,875
235,1065
598,1117
257,824
50,1285
34,752
256,1353
581,921
61,885
102,886
464,1275
142,1224
252,830
238,932
480,1219
270,1409
361,773
460,752
264,840
244,1127
266,886
73,1245
439,814
117,763
678,830
53,778
414,757
144,896
586,1241
603,1410
262,1117
487,1235
239,1133
393,819
145,717
577,1128
370,835
409,763
600,1297
259,1004
253,1189
462,774
257,1308
269,1133
692,1236
254,1010
328,959
39,856
345,1128
703,836
56,1025
4,835
400,835
565,902
490,728
266,1020
379,897
458,1190
57,846
359,1184
469,790
106,738
133,841
601,717
69,856
110,857
380,718
266,1370
247,1128
448,852
49,1143
337,1021
598,796
499,790
440,1149
467,1252
269,1267
629,1021
60,1278
252,1448
603,739
267,790
35,1221
593,960
610,1129
679,734
147,873
496,1027
493,729
261,1160
472,791
109,739
413,1150
17,1150
108,1268
256,1166
581,734
423,1279
65,817
120,1278
500,745
463,863
100,811
105,1155
67,863
405,858
608,1217
415,822
19,822
136,1407
456,823
115,1284
340,1402
78,1402
458,869
212,1402
359,863
438,1156
154,1397
603,1223
606,740
470,879
112,1171
109,873
207,1408
17,1284
461,766
256,1300
600,1110
242,1402
259,817
369,1177
28,884
107,1177
465,885
184,1397
597,812
598,1414
104,879
118,777
257,1121
64,1480
45,1238
172,1013
232,1064
254,823
686,1234
345,941
457,1182
553,890
24,1300
266,833
701,761
35,900
114,1193
342,828
176,1290
262,1064
267,1408
704,1409
52,1254
432,721
36,721
415,1306
449,890
187,890
390,1249
343,1403
54,1300
71,715
678,1127
502,901
50,777
690,1137
693,1408
66,721
103,788
464,767
259,1301
326,833
135,1265
78,731
157,1024
532,901
597,1296
229,900
330,952
360,794
131,742
117,844
84,896
249,963
469,737
460,1183
231,1323
93,1389
96,906
490,1025
471,783
38,901
117,1194
700,1020
409,844
598,743
601,1014
499,737
256,979
261,1323
388,906
409,1194
235,1041
18,814
9,1260
